N,P,Iteration,Status,Time_s,Optimal_Cost
50,1000,4,OPTIMAL_30_GAP,13.485,1176580.00
50,1000,5,OPTIMAL_30_GAP,14.226,672820.00
50,1000,6,OPTIMAL_30_GAP,16.735,1096645.00
50,1000,7,OPTIMAL_30_GAP,14.414,619457.00
50,1000,8,OPTIMAL_30_GAP,12.632,958380.00
50,1000,9,OPTIMAL_30_GAP,12.676,1033363.00
50,1000,10,OPTIMAL_30_GAP,12.550,555024.00
50,5000,1,OPTIMAL_30_GAP,93.498,7286972.00
50,5000,2,OPTIMAL_30_GAP,71.114,3182326.00
50,5000,3,OPTIMAL_30_GAP,76.065,4548533.00
50,5000,4,OPTIMAL_30_GAP,90.174,3138687.00
50,5000,5,OPTIMAL_30_GAP,81.584,5882220.00
50,5000,6,OPTIMAL_30_GAP,83.010,3650988.00
50,5000,7,OPTIMAL_30_GAP,77.444,4546478.00
50,5000,8,OPTIMAL_30_GAP,69.112,4868040.00
50,5000,9,OPTIMAL_30_GAP,70.798,3729263.00
50,5000,10,OPTIMAL_30_GAP,75.688,2522723.00
50,10000,1,OPTIMAL_30_GAP,200.373,13969764.00
50,10000,2,OPTIMAL_30_GAP,198.747,7303959.00
50,10000,3,OPTIMAL_30_GAP,206.493,14926529.00
50,10000,4,OPTIMAL_30_GAP,204.808,12298542.00
50,10000,5,OPTIMAL_30_GAP,181.701,7560153.00
50,10000,6,OPTIMAL_30_GAP,196.497,7123695.00
50,10000,7,OPTIMAL_30_GAP,203.736,11513589.00
50,10000,8,OPTIMAL_30_GAP,182.313,7961536.00
50,10000,9,OPTIMAL_30_GAP,196.417,7668699.00
50,10000,10,OPTIMAL_30_GAP,192.579,11425968.00
100,100,1,OPTIMAL_30_GAP,4.337,76024.00
100,100,2,OPTIMAL_30_GAP,3.260,132237.00
100,100,3,OPTIMAL_30_GAP,3.958,120443.00
100,100,4,OPTIMAL_30_GAP,5.664,101648.00
100,100,5,OPTIMAL_30_GAP,5.000,120997.00
100,100,6,OPTIMAL_30_GAP,5.330,95720.00
100,100,7,OPTIMAL_30_GAP,3.541,84980.00
100,100,8,OPTIMAL_30_GAP,2.775,96124.00
100,100,9,OPTIMAL_30_GAP,1725.961,95880.00
100,100,10,OPTIMAL_30_GAP,3.733,99586.00
100,200,1,OPTIMAL_30_GAP,7.433,159539.00
100,200,2,OPTIMAL_30_GAP,8.674,319769.00
100,200,3,OPTIMAL_30_GAP,60.220,122759.00
100,200,4,OPTIMAL_30_GAP,7.059,222080.00
100,200,5,OPTIMAL_30_GAP,7.551,248353.00
100,200,6,OPTIMAL_30_GAP,14.700,124753.00
100,200,7,OPTIMAL_30_GAP,15.267,239252.00
100,200,8,OPTIMAL_30_GAP,8.757,141851.00
100,200,9,OPTIMAL_30_GAP,8.199,163088.00
100,200,10,OPTIMAL_30_GAP,7.750,349801.00
100,500,1,OPTIMAL_30_GAP,18.005,410110.00
100,500,2,OPTIMAL_30_GAP,35.150,382690.00
100,500,3,OPTIMAL_30_GAP,15.919,373145.00
100,500,4,OPTIMAL_30_GAP,19.599,520623.00
100,500,5,OPTIMAL_30_GAP,18.448,593868.00
100,500,6,OPTIMAL_30_GAP,18.322,206500.00
100,500,7,OPTIMAL_30_GAP,18.266,611500.00
100,500,8,OPTIMAL_30_GAP,17.919,300789.00
100,500,9,OPTIMAL_30_GAP,18.480,472809.00
100,500,10,OPTIMAL_30_GAP,20.701,335447.00
100,1000,1,OPTIMAL_30_GAP,30.967,776259.00
100,1000,2,OPTIMAL_30_GAP,31.296,825738.00
100,1000,3,OPTIMAL_30_GAP,32.624,598875.00
100,1000,4,OPTIMAL_30_GAP,30.154,797275.00
100,1000,5,OPTIMAL_30_GAP,39.631,482951.00
100,1000,6,OPTIMAL_30_GAP,33.043,840582.00
100,1000,7,OPTIMAL_30_GAP,36.903,1190289.00
100,1000,8,OPTIMAL_30_GAP,30.468,787839.00
100,1000,9,OPTIMAL_30_GAP,52.018,826061.00
100,1000,10,OPTIMAL_30_GAP,30.245,1066220.00
100,5000,1,OPTIMAL_30_GAP,186.942,3614780.00
100,5000,2,OPTIMAL_30_GAP,176.951,4327540.00
100,5000,3,OPTIMAL_30_GAP,211.634,4546487.00
100,5000,4,OPTIMAL_30_GAP,217.184,4868100.00
100,5000,5,OPTIMAL_30_GAP,209.486,5530376.00
100,5000,6,OPTIMAL_30_GAP,187.728,2581520.00
100,5000,7,OPTIMAL_30_GAP,200.071,5174626.00
100,5000,8,OPTIMAL_30_GAP,199.243,4043980.00
100,5000,9,OPTIMAL_30_GAP,2023.257,3158906.00
100,5000,10,OPTIMAL_30_GAP,1073.122,4134291.00
100,10000,1,OPTIMAL_30_GAP,839.229,9332600.00
100,10000,2,OPTIMAL_30_GAP,941.001,13539090.00
100,10000,3,OPTIMAL_30_GAP,445.064,6837266.00
100,10000,4,OPTIMAL_30_GAP,458.008,10380075.00
100,10000,5,OPTIMAL_30_GAP,454.187,5670455.00
100,10000,6,OPTIMAL_30_GAP,1258.129,8435555.00
100,10000,7,OPTIMAL_30_GAP,3441.598,5691240.00
100,10000,8,OPTIMAL_30_GAP,1540.668,8567520.00
100,10000,9,OPTIMAL_30_GAP,615.669,7547220.00
100,10000,10,OPTIMAL_30_GAP,512.076,7861441.00
200,200,1,OPTIMAL_30_GAP,26.445,242888.00
200,200,2,OPTIMAL_30_GAP,15.745,186108.00
200,200,3,OPTIMAL_30_GAP,34.789,236264.00
200,200,4,OPTIMAL_30_GAP,15.148,214260.00
200,200,5,OPTIMAL_30_GAP,18.145,207429.00
200,200,6,OPTIMAL_30_GAP,13.390,201463.00
200,200,7,OPTIMAL_30_GAP,17.499,154916.00
200,200,8,OPTIMAL_30_GAP,14.336,319108.00
200,200,9,OPTIMAL_30_GAP,14.498,199271.00
200,200,10,OPTIMAL_30_GAP,6469.516,127820.00
200,500,1,OPTIMAL_30_GAP,36.191,433465.00
